# docs/24 I4 tier compare on standard_arena_waves seed 42. Columns: party end kills deaths waves dmgIn dmgOut spells auto mana time highSpells
partyId	endReason	kills	deaths	wavesCompleted	damageDealt	damageTaken	spellsCast	autoAttacks	manaSpent	timeSec	highSpellIds
balance_quartet_novice	party_wipe	35	4	2	2103	933	19	70	440	103	flame_strike,ice_strike,wound_cleanse
balance_quartet	party_wipe	71	4	8	17573	2919	141	70	1035	98.7	berserk,divine_caldera,heal_light,heal_intense
balance_quartet_veteran	waves_complete	75	1	9	33052	2464	95	83	5245	72.4	front_sweep,strong_ethereal_spear,divine_caldera,sky_rage,eternal_winter,heal_intense
